iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
LIE,0,0,0,26,30,29,0,0,19,30,0,0,15,0,0,26,0,0,11,0,0,24,30,0,0,26,30,0,26,28,2,26,18,18,0,0,30,26
LKA,24,30,30,26,30,24,22,29,30,30,29,25,30,30,7,26,25,25,24,16,25,30,30,25,29,26,30,7,26,27,14,26,13,14,25,30,30,26
LSO,24,30,30,26,30,24,23,4,30,30,4,18,30,30,2,26,18,18,24,10,25,29,30,4,29,26,30,2,26,28,7,26,23,15,18,30,30,26
LTU,24,30,30,26,30,29,23,30,30,30,29,30,30,30,27,26,30,30,25,18,30,29,30,27,29,26,30,27,26,27,28,26,24,24,30,30,30,26
LUX,24,30,30,26,30,29,23,30,23,30,30,30,30,30,29,26,30,26,25,18,26,30,30,27,29,26,30,29,26,27,22,26,23,17,30,30,30,26
LVA,24,30,30,26,30,29,23,30,30,30,30,30,30,30,26,26,30,30,24,18,22,29,30,27,29,26,30,26,26,27,28,26,24,24,30,30,30,26
MAC,0,30,30,26,30,29,23,0,30,30,0,30,30,30,0,26,30,23,0,17,23,30,30,14,0,26,30,0,26,28,24,26,24,24,30,30,30,26
MAF,0,0,0,0,30,29,0,0,0,30,0,0,7,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0
MAR,24,30,30,26,30,29,23,29,30,30,29,30,30,30,4,26,30,30,24,9,28,30,30,22,29,26,30,4,26,27,6,26,26,29,30,30,30,26
MCO,24,0,0,10,30,29,0,0,0,30,0,0,30,0,0,10,0,0,24,0,0,24,30,27,29,22,30,0,10,0,2,26,9,2,0,0,30,26
MDA,24,30,30,26,30,29,23,29,30,30,29,30,30,30,27,26,30,30,24,16,30,30,30,27,29,26,30,27,26,27,24,26,15,15,30,30,30,26
MDG,24,30,30,26,30,29,23,29,30,30,29,30,30,30,7,26,30,30,24,18,30,29,30,25,29,26,30,7,26,28,18,26,14,29,30,30,30,26
MDV,24,30,30,26,30,24,23,4,30,30,4,11,30,30,4,26,11,11,24,7,18,30,30,0,29,26,30,4,26,28,0,26,23,9,11,30,30,26
MEX,24,30,30,26,30,29,23,30,30,30,30,30,30,30,16,26,30,30,24,17,30,30,30,27,29,26,30,16,26,27,29,26,25,25,30,30,30,26
