region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
ITA,Italy,1879,34.01,207.26,9.78,0.2487,4.62,34.01,74.78,84.62,40.77,1850_1899,True,True,Italy,both,True
ITA,Italy,1880,32.82,213.27,9.3,0.2307,4.51,32.82,74.3,84.51,41.48,1850_1899,True,True,Italy,both,True
ITA,Italy,1881,34.27,219.57,10.35,0.2666,5.27,34.27,75.35,85.27,41.07999999999999,1850_1899,True,True,Italy,both,True
ITA,Italy,1882,34.35,214.4,10.51,0.2739,5.25,34.35,75.51,85.25,41.160000000000004,1850_1899,True,True,Italy,both,True
ITA,Italy,1883,35.23,196.02,10.41,0.2822,4.84,35.23,75.41,84.84,40.18,1850_1899,True,True,Italy,both,True
ITA,Italy,1884,36.67,187.87,10.66,0.2930999999999999,4.83,36.67,75.66,84.83,38.989999999999995,1850_1899,True,True,Italy,both,True
ITA,Italy,1885,36.92,189.75,10.79,0.3005,4.75,36.92,75.78999999999999,84.75,38.86999999999999,1850_1899,True,True,Italy,both,True
ITA,Italy,1886,35.18,193.04,10.5,0.2706,4.57,35.18,75.5,84.57,40.32,1850_1899,True,True,Italy,both,True
ITA,Italy,1887,36.05,195.5,10.67,0.2853,4.61,36.05,75.67,84.61,39.620000000000005,1850_1899,True,True,Italy,both,True
ITA,Italy,1888,37.02,193.5,10.38,0.2974,4.48,37.02,75.38,84.48,38.35999999999999,1850_1899,True,True,Italy,both,True
ITA,Italy,1889,39.13,184.28,10.72,0.3289,4.71,39.13,75.72,84.71,36.589999999999996,1850_1899,True,True,Italy,both,True
ITA,Italy,1890,38.58,189.03,10.26,0.3173999999999999,4.54,38.58,75.26,84.54,36.68000000000001,1850_1899,True,True,Italy,both,True
ITA,Italy,1891,38.55,185.15,10.15,0.3254999999999999,4.58,38.55,75.15,84.58,36.60000000000001,1850_1899,True,True,Italy,both,True
ITA,Italy,1892,38.93,181.96,9.74,0.3214,4.58,38.93,74.74,84.58,35.809999999999995,1850_1899,True,True,Italy,both,True
ITA,Italy,1893,39.88,178.07,10.1,0.3356,4.73,39.88,75.1,84.73,35.21999999999999,1850_1899,True,True,Italy,both,True
ITA,Italy,1895,39.69,184.0,10.39,0.3337,4.83,39.69,75.39,84.83,35.7,1850_1899,True,True,Italy,both,True
ITA,Italy,1916,39.71,145.02,11.31,0.3265,4.56,39.71,76.31,84.56,36.6,1900_1949,True,True,Italy,both,True
ITA,Italy,1917,38.08,142.9,10.93,0.2935999999999999,4.31,38.08,75.93,84.31,37.85000000000001,1900_1949,True,True,Italy,both,True
ITA,Italy,1918,25.82,182.83,9.82,0.1328,4.0,25.82,74.82,84.0,48.99999999999999,1900_1949,True,True,Italy,both,True
NLD,Netherlands,1850,39.84,193.75,11.23,0.3109,5.0,39.84,76.23,85.0,36.39,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1852,38.71,213.48,11.2,0.3024,5.07,38.71,76.2,85.07,37.49,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1853,38.74,193.45,10.15,0.28,4.46,38.74,75.15,84.46,36.410000000000004,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1854,38.72,193.26,10.54,0.286,4.79,38.72,75.53999999999999,84.79,36.81999999999999,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1855,34.58,208.37,9.25,0.2322,3.89,34.58,74.25,83.89,39.67,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1856,38.47,194.67,10.74,0.2937,4.85,38.47,75.74,84.85,37.269999999999996,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1857,35.41,229.03,9.87,0.2536,4.23,35.41,74.87,84.23,39.46000000000001,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1858,34.79,216.17,9.33,0.2305,4.03,34.79,74.33,84.03,39.54,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1859,30.91,244.68,9.42,0.196,4.07,30.91,74.42,84.07,43.510000000000005,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1860,37.0,197.59,10.59,0.2702,4.62,37.0,75.59,84.62,38.59,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1861,36.51,215.98,10.54,0.2728,4.46,36.51,75.53999999999999,84.46,39.029999999999994,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1862,38.37,199.51,10.94,0.2958,4.87,38.37,75.94,84.87,37.57,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1863,38.31,206.39,11.03,0.301,4.94,38.31,76.03,84.94,37.72,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1864,37.65,200.71,10.36,0.2816,4.47,37.65,75.36,84.47,37.71,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1865,36.47,229.99,10.97,0.2802,4.71,36.47,75.97,84.71,39.5,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1866,33.69,203.43,10.31,0.2191,4.75,33.69,75.31,84.75,41.620000000000005,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1867,39.3,208.14,10.96,0.3136,4.72,39.3,75.96000000000001,84.72,36.66000000000001,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1868,37.78,232.43,10.79,0.3031,4.63,37.78,75.78999999999999,84.63,38.00999999999999,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1870,37.54,221.18,10.39,0.2874,4.45,37.54,75.39,84.45,37.85,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1871,33.01,234.79,10.42,0.2347,4.44,33.01,75.42,84.44,42.410000000000004,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1872,36.47,228.32,11.21,0.2862,4.92,36.47,76.21000000000001,84.92,39.74000000000001,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1873,39.27,217.82,10.91,0.3157999999999999,4.81,39.27,75.91,84.81,36.63999999999999,1850_1899,True,True,Netherlands,both,True
NLD,Netherlands,1875,38.34,228.21,10.43,0.3,4.46,38.34,75.43,84.46,37.09,1850_1899,True,True,Netherlands,both,True
SWE,Sweden,1751,38.43,195.94,11.01,0.2830999999999999,5.25,38.43,76.01,85.25,37.580000000000005,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1752,35.41,220.68,12.55,0.2787,6.62,35.41,77.55,86.62,42.14,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1753,39.74,195.63,12.47,0.3177,6.43,39.74,77.47,86.43,37.73,pre_1850,True,True,Sweden,both,True
