region_id,label,year,e0,imr,e65,exp_death_65,s_to_65,adult_gap_65
NLD,Netherlands,1875,38.34,228.21,10.43,75.43,0.3,37.09
SWE,Sweden,1751,38.43,195.94,11.01,76.01,0.2830999999999999,37.580000000000005
SWE,Sweden,1752,35.41,220.68,12.55,77.55,0.2787,42.14
SWE,Sweden,1753,39.74,195.63,12.47,77.47,0.3177,37.73
SWE,Sweden,1754,37.5,213.87,11.68,76.68,0.2858,39.18000000000001
SWE,Sweden,1755,36.58,229.99,11.44,76.44,0.2789,39.86
SWE,Sweden,1756,36.25,220.99,11.18,76.18,0.2683,39.93000000000001
SWE,Sweden,1757,33.81,211.11,10.7,75.7,0.233,41.89
SWE,Sweden,1758,32.92,210.45,9.25,74.25,0.1907999999999999,41.33
SWE,Sweden,1759,38.21,194.57,10.7,75.7,0.264,37.49
SWE,Sweden,1760,39.71,192.0,11.41,76.41,0.2805,36.699999999999996
SWE,Sweden,1761,37.83,213.41,11.66,76.66,0.2866,38.83
SWE,Sweden,1762,32.49,242.07,10.36,75.36,0.221,42.87
SWE,Sweden,1763,30.46,244.35,10.09,75.09,0.1939999999999999,44.63
SWE,Sweden,1764,36.3,217.37,10.65,75.65,0.2463,39.35000000000001
SWE,Sweden,1765,35.99,219.12,10.13,75.13,0.2412,39.13999999999999
SWE,Sweden,1766,38.11,219.33,11.05,76.05,0.2836,37.94
SWE,Sweden,1767,38.23,215.82,10.38,75.38,0.273,37.15
SWE,Sweden,1768,35.05,223.64,10.87,75.87,0.2686,40.82000000000001
SWE,Sweden,1769,34.71,219.14,11.14,76.14,0.2673999999999999,41.43
SWE,Sweden,1770,36.66,212.06,10.74,75.74,0.273,39.08
SWE,Sweden,1771,35.43,210.82,9.85,74.85,0.2386,39.419999999999995
SWE,Sweden,1772,27.73,222.02,8.22,73.22,0.1253999999999999,45.489999999999995
SWE,Sweden,1773,17.99,238.56,7.14,72.14,0.0533,54.150000000000006
SWE,Sweden,1775,38.15,193.94,10.74,75.74,0.2859,37.589999999999996
SWE,Sweden,1777,38.13,190.51,10.4,75.4,0.2869,37.27
SWE,Sweden,1778,35.56,209.14,10.63,75.63,0.2804,40.06999999999999
SWE,Sweden,1779,32.82,214.28,11.09,76.09,0.2683,43.27
SWE,Sweden,1781,37.81,184.69,9.81,74.81,0.289,37.0
SWE,Sweden,1782,36.66,182.43,8.94,73.94,0.2557,37.28
