state,fire_year,size_class,cause_class,n,acres
OR,2007,F,Natural,13,32184.8
OR,2007,G,Human,3,73321.5
OR,2007,G,Natural,16,431639.7
OR,2008,A,Human,858,75.10000000000001
OR,2008,A,Missing data/not specified/undetermined,3,0.30000000000000004
OR,2008,A,Natural,944,108.09
OR,2008,B,Human,278,488.59
OR,2008,B,Missing data/not specified/undetermined,1,2.0
OR,2008,B,Natural,432,632.49
OR,2008,C,Human,36,1024.15
OR,2008,C,Missing data/not specified/undetermined,1,15.5
OR,2008,C,Natural,53,1507.15
OR,2008,D,Human,4,736.0
OR,2008,D,Natural,15,2445.16
OR,2008,E,Human,8,3525.1
OR,2008,E,Natural,13,5953.3
OR,2008,F,Human,4,10172.0
OR,2008,F,Natural,10,28459.5
OR,2008,G,Natural,8,185767.0
OR,2009,A,Human,790,74.77
OR,2009,A,Missing data/not specified/undetermined,3,0.30000000000000004
OR,2009,A,Natural,824,92.53
OR,2009,B,Human,250,370.35
OR,2009,B,Missing data/not specified/undetermined,1,2.0
OR,2009,B,Natural,322,490.33
OR,2009,C,Human,31,804.9300000000001
OR,2009,C,Natural,38,1167.4
OR,2009,D,Human,6,1231.1
OR,2009,D,Natural,15,2548.96
OR,2009,E,Human,2,1055.0
OR,2009,E,Missing data/not specified/undetermined,1,633.0
OR,2009,E,Natural,9,5501.1
OR,2009,F,Human,4,7734.0
OR,2009,F,Natural,2,4769.6
OR,2009,G,Human,1,8395.0
OR,2009,G,Natural,5,54188.0
OR,2010,A,Human,729,61.900000000000006
OR,2010,A,Missing data/not specified/undetermined,1,0.1
OR,2010,A,Natural,715,84.10000000000001
OR,2010,B,Human,167,280.17
OR,2010,B,Missing data/not specified/undetermined,1,0.3
OR,2010,B,Natural,222,293.95
OR,2010,C,Human,20,671.83
OR,2010,C,Missing data/not specified/undetermined,2,92.0
OR,2010,C,Natural,31,819.53
OR,2010,D,Human,3,576.0
OR,2010,D,Natural,9,1286.0
OR,2010,E,Human,2,626.0
OR,2010,E,Natural,7,2927.5
OR,2010,F,Human,3,8801.4
OR,2010,F,Natural,8,18795.0
OR,2010,G,Human,2,13628.0
OR,2010,G,Natural,2,38804.0
OR,2011,A,Human,748,65.54
OR,2011,A,Natural,649,74.91
OR,2011,B,Human,182,337.86
OR,2011,B,Missing data/not specified/undetermined,1,2.4
OR,2011,B,Natural,225,330.22
OR,2011,C,Human,39,1294.08
