id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14071189,JK100554,2025-12-31T23:00:00.000,087XX S VINCENNES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2222,022,21,71,14,1171997,1846885,2025,2026-03-14T15:41:39.000,41.735300602,-87.64545681,"{'latitude': '41.735300602', 'longitude': '-87.64545681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071392,JK100837,2025-12-31T23:00:00.000,019XX N KOSTNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2533,025,26,20,14,1146748,1912464,2025,2026-03-14T15:41:39.000,41.915775297,-87.736290493,"{'latitude': '41.915775297', 'longitude': '-87.736290493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070926,JJ540670,2025-12-31T23:00:00.000,027XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,1411,014,35,21,06,1157382,1921149,2025,2026-03-14T15:41:39.000,41.93939779,-87.696984978,"{'latitude': '41.93939779', 'longitude': '-87.696984978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071161,JK100481,2025-12-31T23:00:00.000,051XX N EAST RIVER RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1614,016,41,76,05,1116628,1932910,2025,2026-03-14T15:41:39.000,41.972403959,-87.846525133,"{'latitude': '41.972403959', 'longitude': '-87.846525133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070849,JK100062,2025-12-31T23:00:00.000,051XX S DAMEN AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,0932,009,16,61,04B,1163887,1870718,2025,2026-03-14T15:41:39.000,41.800875671,-87.674499861,"{'latitude': '41.800875671', 'longitude': '-87.674499861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071286,JK100651,2025-12-31T23:00:00.000,022XX N LINCOLN AVE,0810,THEFT,OVER $500,BAR OR TAVERN,False,False,1812,018,43,7,06,1171478,1915284,2025,2026-03-14T15:41:39.000,41.923005158,-87.645351431,"{'latitude': '41.923005158', 'longitude': '-87.645351431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070717,JJ540662,2025-12-31T23:00:00.000,052XX W ADDISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1634,016,31,15,07,1140749,1923433,2025,2026-03-14T15:41:39.000,41.945987845,-87.758060262,"{'latitude': '41.945987845', 'longitude': '-87.758060262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070808,JJ540673,2025-12-31T22:57:00.000,028XX W ARTHINGTON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,True,True,1135,011,28,27,04A,1157473,1895911,2025,2026-03-14T15:41:39.000,41.870140733,-87.697338234,"{'latitude': '41.870140733', 'longitude': '-87.697338234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070982,JJ540634,2025-12-31T22:45:00.000,001XX W HURON ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1832,018,42,8,03,1175253,1905045,2025,2026-03-14T15:41:39.000,41.894824927,-87.631788635,"{'latitude': '41.894824927', 'longitude': '-87.631788635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070770,JJ540651,2025-12-31T22:45:00.000,025XX W GUNNISON ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,2031,020,40,4,08A,1158564,1932193,2025,2026-03-14T15:41:39.000,41.969679008,-87.692337191,"{'latitude': '41.969679008', 'longitude': '-87.692337191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070749,JK100003,2025-12-31T22:43:00.000,020XX S INDIANA AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,0132,001,3,33,04B,1177964,1890631,2025,2026-03-14T15:41:39.000,41.855210839,-87.622270562,"{'latitude': '41.855210839', 'longitude': '-87.622270562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071117,JK100468,2025-12-31T22:39:00.000,014XX W LAKE ST,0810,THEFT,OVER $500,BAR OR TAVERN,False,False,1224,012,27,28,06,1166633,1901539,2025,2026-03-14T15:41:39.000,41.885393253,-87.663547848,"{'latitude': '41.885393253', 'longitude': '-87.663547848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070811,JJ540647,2025-12-31T22:34:00.000,0000X E WACKER PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,False,0111,001,42,32,14,1177077,1902140,2025,2026-03-14T15:41:39.000,41.886812339,-87.625177717,"{'latitude': '41.886812339', 'longitude': '-87.625177717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14072634,JK102170,2025-12-31T22:30:00.000,032XX W 83RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0834,008,18,70,14,1156033,1849376,2025,2026-03-14T15:41:39.000,41.74247157,-87.703876175,"{'latitude': '41.74247157', 'longitude': '-87.703876175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14074246,JK104022,2025-12-31T22:30:00.000,116XX S CARPENTER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0524,005,21,53,07,1171413,1827688,2025,2026-03-14T15:41:39.000,41.682633922,-87.648155966,"{'latitude': '41.682633922', 'longitude': '-87.648155966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070854,JK100209,2025-12-31T22:30:00.000,002XX W ILLINOIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1831,018,42,8,14,1174505,1903564,2025,2026-03-14T15:41:39.000,41.890777731,-87.634580101,"{'latitude': '41.890777731', 'longitude': '-87.634580101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070812,JK100139,2025-12-31T22:30:00.000,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,False,False,1713,017,33,14,14,1153017,1931689,2025,2026-03-14T15:41:39.000,41.968408072,-87.712747145,"{'latitude': '41.968408072', 'longitude': '-87.712747145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071067,JK100369,2025-12-31T22:30:00.000,111XX S LOOMIS ST,0820,THEFT,$500 AND UNDER,STREET,False,False,2234,022,21,75,06,1168985,1830899,2025,2026-03-14T15:41:39.000,41.691498087,-87.656951643,"{'latitude': '41.691498087', 'longitude': '-87.656951643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14072517,JK101280,2025-12-31T22:30:00.000,003XX N ABERDEEN ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,012,27,28,06,1169077,1902542,2025,2026-03-14T15:41:39.000,41.888092859,-87.654543943,"{'latitude': '41.888092859', 'longitude': '-87.654543943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
